annee,mois,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t,regroupement1,date_arrondie,besoin_marche_t,type_max,cyclone,nom,besoin_marche_kg,quotas_realise_kg,poids_enquete_t
2016,9,TOTAL FRUITS (HORS VANILLE),313466,117508,36559377,311.12245123736255,113.8867230561637,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-09-01,350,NA,NA,NA,350000,0,313.466
2017,11,TOTAL FRUITS (HORS VANILLE),551798,193891,53011684,273.4097198941673,105.23109104190704,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-11-01,420,NA,NA,NA,420000,0,551.798
2017,3,TOTAL FRUITS (HORS VANILLE),279089,188448,50474766,267.84453005603666,100.7413115114484,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-03-01,390,NA,NA,NA,390000,0,279.089
2017,8,TOTAL FRUITS (HORS VANILLE),199031,91292,24794165,271.5918700433773,132.98335243487617,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-08-01,350,NA,NA,NA,350000,0,199.031
2018,10,TOTAL FRUITS (HORS VANILLE),356373.1,67324.2,21033324,312.41847656563317,108.76415580664714,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-10-01,310,NA,NA,NA,310000,0,356.37309999999997
2018,5,TOTAL FRUITS (HORS VANILLE),260335,134757.6,38584804,286.327479860134,112.17668957728095,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-05-01,390,NA,NA,NA,390000,0,260.335
2019,5,TOTAL FRUITS (HORS VANILLE),347776,105847,34342550,324.4546373539165,106.51926604141784,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-05-01,350,NA,NA,NA,350000,0,347.776
2019,2,TOTAL FRUITS (HORS VANILLE),266006.7,93939,26241024,279.34110433366334,101.0426389967141,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-02-01,460,NA,NA,NA,460000,0,266.0067
2019,11,TOTAL FRUITS (HORS VANILLE),662703,65548,21230065,323.8857783608958,103.3929933817864,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-11-01,420,NA,NA,NA,420000,0,662.703
2020,12,TOTAL FRUITS (HORS VANILLE),655276,189889.9,60555886,318.89998362208837,93.0804192446992,103.76863692008132,2020-12-16,2021-01-15,273.32000000000005,0,Total fruits (hors vanille),2020-12-01,415,"Cyclone tropical
très intense","Yasa
(Cyclone
tropical
très
intense)",Yasa,415000,0,655.276
2020,7,TOTAL FRUITS (HORS VANILLE),236647,50408.5,17309005,343.3747284684131,92.18914940631753,113.652835157675,NA,NA,NA,0,Total fruits (hors vanille),2020-07-01,350,NA,NA,NA,350000,0,236.647
2020,2,TOTAL FRUITS (HORS VANILLE),379861,62312.47,15808741,253.70108101957763,88.92929996153708,78.69408793346173,NA,NA,NA,0,Total fruits (hors vanille),2020-02-01,350,NA,NA,NA,350000,0,379.861
2020,10,TOTAL FRUITS (HORS VANILLE),425794,101600.9,35852205,352.8729076218813,95.9375804661282,117.48526488885317,NA,NA,NA,0,Total fruits (hors vanille),2020-10-01,350,NA,NA,NA,350000,0,425.794
2020,8,TOTAL FRUITS (HORS VANILLE),337610,52828.8,17160161,324.82587149433647,92.2966794699416,109.96455478425796,NA,NA,NA,0,Total fruits (hors vanille),2020-08-01,350,NA,NA,NA,350000,0,337.61
2020,1,TOTAL FRUITS (HORS VANILLE),518508,122975,30942250,251.6141492173206,89.60737022221494,82.95210641990496,NA,NA,NA,0,Total fruits (hors vanille),2020-01-01,415,NA,NA,NA,415000,0,518.508
2021,10,TOTAL FRUITS (HORS VANILLE),466290,103413.7,28509160,275.68068834206684,102.4324227432298,89.63550793525593,2021-10-16,2021-11-15,357.90000000000003,0,Total fruits (hors vanille),2021-10-01,345,NA,NA,NA,345000,0,466.29
2021,2,TOTAL FRUITS (HORS VANILLE),314383,122141.3,33152865,271.43042525337455,90.00525639092629,84.6496921490996,2021-02-16,2021-03-15,318.665,0,Total fruits (hors vanille),2021-02-01,390,NA,NA,NA,390000,0,314.383
2021,7,TOTAL FRUITS (HORS VANILLE),225031,82880.90000000001,28298720,341.4383772376989,100.9501280830357,111.41329329641847,2021-07-16,2021-08-15,256.295,0,Total fruits (hors vanille),2021-07-01,350,NA,NA,NA,350000,0,225.031
2021,6,TOTAL FRUITS (HORS VANILLE),290057,69899.85,24091291,344.65440197654215,99.15421489722688,113.20009858346236,2021-06-16,2021-07-15,192.44,0,Total fruits (hors vanille),2021-06-01,350,NA,NA,NA,350000,0,290.057
2021,11,TOTAL FRUITS (HORS VANILLE),492887,196494.1,56410309,287.0839836921312,103.60818945290666,93.30783194384772,2021-11-16,2021-12-15,420.1,0,Total fruits (hors vanille),2021-11-01,410,NA,NA,NA,410000,0,492.887
2021,12,TOTAL FRUITS (HORS VANILLE),437170,143063.4,45908570,320.8966793743194,100,104.1680165250052,2021-12-01,2021-12-31,411.5100000000001,115.775,Total fruits (hors vanille),2021-12-01,420,NA,NA,NA,420000,115775,437.17
2021,5,TOTAL FRUITS (HORS VANILLE),253082,82844.5,30903533,373.03059346124365,98.925001826703,121.88644838929444,2021-05-16,2021-06-15,166.448,0,Total fruits (hors vanille),2021-05-01,350,NA,NA,NA,350000,0,253.082
2022,9,TOTAL FRUITS (HORS VANILLE),211124,45539.35,18143630,398.41653427200873,106.67371695771097,130.61195432035404,2022-09-16,2022-10-15,518.4150000000001,200.751,Total fruits (hors vanille),2022-09-01,469,NA,NA,NA,469000,200751,211.124
2022,6,TOTAL FRUITS (HORS VANILLE),243834,73130.98999999999,28368619,387.9151506085177,106.79422688837256,127.23149948068097,2022-06-16,2022-07-15,162.6,43.121,Total fruits (hors vanille),2022-06-01,469,NA,NA,NA,469000,43121,243.834
2022,5,TOTAL FRUITS (HORS VANILLE),277190,79757.7,31522803,395.23209671291926,104.72579258612184,130.14721258124663,2022-05-16,2022-06-15,268.95,86.989,Total fruits (hors vanille),2022-05-01,469,NA,NA,NA,469000,86989,277.19
2023,4,TOTAL FRUITS (HORS VANILLE),213369,94276.46,28662328,304.02422831744,100.23234344876607,98.3880116043872,2023-04-16,2023-05-15,277.614,50.659000000000006,Total fruits (hors vanille),2023-04-01,469,NA,NA,NA,469000,50659.00000000001,213.369
